Model Indicator Name,Default Indicator Name,Unit of Entry,Note
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Agriculture,Energy|Final Energy Use by Sector|Agriculture,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|TCU,,EJ,
Final energy demand|PATHWAYS - CEC 2050 High Biofuels|Unspecified,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Coke,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Compressed Pipeline Gas (CNG),,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Diesel,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Electricity,Energy|Final Energy Use by Sector|Electricity,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Fuel Oil,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Gasoline,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Hydrogen,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Kerosene,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Kerosene-Jet Fuel,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Liquified Pipeline Gas (LNG),,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|LPG,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Pipeline Gas,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Refinery and Process Gas,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Waste Heat,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Wood,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Total,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Residential,Buildings|Energy Use By Sub-Sector|Residential,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Commercial,Buildings|Energy Use By Sub-Sector|Commercial,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Transportation,Energy|Final Energy Use by Sector|Transportation,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Industrial,Energy|Final Energy Use by Sector|Industry,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Oil & Gas Extraction,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Petroleum Refining,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Agriculture,Energy|Final Energy Use by Sector|Agriculture,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|TCU,,EJ,
Final energy demand|PATHWAYS - CEC 2050 No Heat Pumps Plus|Unspecified,,EJ,
Final energy demand|PATHWAYS - High SLCPs Plus|Coke,,EJ,
